Run_ID,As_Of,Mode,Model,Prompt_Version,Candidates,Cache_Hits,Calls_Attempted,Calls_Succeeded,Calls_Failed,Calls_Budget_Blocked,Threat_Unknown_Before,Threat_Qualified,Sector_Unknown_Before,Sector_Qualified,Location_Unknown_Before,Location_Qualified,Still_Unknown,Input_Tokens,Cached_Input_Tokens,Output_Tokens,Reasoning_Tokens,Total_Tokens,Estimated_Cost_USD,Duration_s,Status,Sector_Initial_Unknown,Sector_Resolved_Reference,Sector_Resolved_Deterministic,Sector_Resolved_Source_LLM,Sector_Evidence_Rejected,Sector_Enrichment_Cache_Hit,Sector_Enrichment_Http_Attempted,Sector_Enrichment_Http_Matched,Sector_Enrichment_Http_Ambiguous,Sector_Enrichment_Http_Not_Found,Sector_Enrichment_Http_Error,Sector_Resolved_Enriched_Deterministic,Sector_Resolved_Enriched_LLM,Sector_Remaining_Unknown,Org_Enrichment_Calls,Org_Enrichment_Duration_s,Org_Enrichment_Cache_Hit_Rate,Sector_Resolved_Native,Sector_LLM_Skipped_No_Evidence
RUN-20260826T080315,2026-08-26T08:03:15+04:00,CREATE,gpt-5-nano,2026-08-16.1,18,0,0,0,0,9,0,0,18,0,18,9,27,0,0,0,0,0,0.0,46.2,BUDGET_STOP,19,0,0,0,12,0,0,0,0,0,0,0,0,19,0,0.0,0.0,15,0
RUN-20260826T080315-2,2026-08-26T08:03:15+04:00,CREATE,gpt-5-nano,2026-08-16.1,18,0,9,5,4,0,0,0,18,0,18,9,27,10257,0,760,0,11017,0.000817,109.9,DEGRADED,19,0,0,0,12,0,0,0,0,0,0,0,0,19,0,0.0,0.0,15,0
RUN-20260826T080315-3,2026-08-26T08:03:15+04:00,CREATE,gpt-5-nano,2026-08-16.1,18,5,0,0,0,4,0,0,18,0,18,9,27,0,0,0,0,0,0.0,78.5,BUDGET_STOP,19,0,0,0,12,0,0,0,0,0,0,0,0,19,0,0.0,0.0,15,0
RUN-20260826T080315-4,2026-08-26T08:03:15+04:00,CREATE,gpt-5-nano,2026-08-16.1,18,5,0,0,0,4,0,0,18,0,18,9,27,0,0,0,0,0,0.0,121.5,BUDGET_STOP,19,0,0,0,12,0,0,0,0,0,0,0,0,19,0,0.0,0.0,15,0
RUN-20260826T080315-5,2026-08-26T08:03:15+04:00,CREATE,gpt-5-nano,2026-08-16.1,14,3,0,0,0,4,0,0,18,4,18,11,21,0,0,0,0,0,0.0,99.7,BUDGET_STOP,19,0,0,0,11,2,11,2,0,0,0,2,0,15,11,5.117,0.5,15,0
RUN-20260826T080315-6,2026-08-26T08:03:15+04:00,CREATE,gpt-5-nano,2026-08-16.1,14,3,0,0,0,4,0,0,18,4,18,11,21,0,0,0,0,0,0.0,102.7,BUDGET_STOP,19,0,0,0,11,4,9,0,0,0,0,0,0,15,9,4.455,1.0,15,0
