Organisation_Key,Organisation,Sector,Status,Confidence,Evidence_Types,Evidence_Count,Evidence,Conflicting_Sectors,Decision_Origin,Updated_At
conseil departemental de la reunion,conseil departemental de la reunion,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
conseil departemental de mayotte,conseil departemental de mayotte,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
conseil regional de la reunion,conseil regional de la reunion,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
conseiljuridique,ConseilJuridique.net,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
conservatoire de bobigny,Conservatoire de Bobigny,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
constructions piraino,Constructions Piraino,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
contrat d integration republicaine,Contrat d’intégration républicaine,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
coriolis,Coriolis,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
corse gsm,Corse GSM,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cours d adultes de paris,Plateforme des Cours d’Adultes de Paris,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
craftok,Craftok,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cravero motoculture,Cravero Motoculture,Commerce / Distribution,CONFIRMED,HIGH,naf_precise_v2,1,naf_precise_v2:Commerce / Distribution:Activity_Code=46.61Z; Company_ID=440381499,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
croq vacances,Croq’ Vacances,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
crous,CROUS,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
crunchyroll,Crunchyroll,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cssm,cssm,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cti bat,cti-bat,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cufr mayotte,cufr mayotte,Éducation / Formation,CONFIRMED,HIGH,manual_reference,1,manual_reference:Éducation / Formation:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cy cergy paris universite,CY Cergy Paris Université,Éducation / Formation,CONFIRMED,HIGH,naf_precise_v2,1,naf_precise_v2:Éducation / Formation:Activity_Code=85.42Z; Company_ID=130025976,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
dalet,Dalet,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
darty,Darty,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
db telecom,DB Telecom,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
dce conseil,DCE Conseil,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
declic services,Declic Services,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
decoupe laser services,Decoupe Laser Services,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
delamarche immobilier,Delamarche Immobilier,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
delko,Delko,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
departement de l ardeche,Département de l’Ardèche,Administration / Collectivité,CONFIRMED,HIGH,safe_name,1,safe_name:Administration / Collectivité:Département de l’Ardèche,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
departement de la reunion,departement de la reunion,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
departement de mayotte,departement de mayotte,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
derbez,Derbez,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
despres mecanique mobile,Després Mécanique Mobile,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
diamond,Diamond,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
diffusion de produits inoxydables,Diffusion de Produits Inoxydables,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
digit re group,Digit RE Group,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
dinum,DINUM,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
diplome de competence en langue,Diplôme de Compétence en Langue,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
direction generale des finances publiques,Direction générale des Finances publiques,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Organisation notoire — administration publique nationale (DGFiP),,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
discolabindu,DISCOLABINDU,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
distribox,Distribox,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
djaboo,Djaboo,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
docaret,Docaret,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
doinsport,DoinSport,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
domaine des tournels,Domaine Des Tournels,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
dron location,DRON Location,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
dupouy associes,dupouy-associes,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
duvignau40,Duvignau 40,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
easycash,EasyCash,Commerce / Distribution,CONFIRMED,HIGH,naf_precise_v2,1,naf_precise_v2:Commerce / Distribution:Activity_Code=46.19B; Company_ID=889129268,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
easylounge,Easy Lounge,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ecole de psychologues praticiens,École de Psychologues Praticiens,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:École de Psychologues Praticiens,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ecole elementaire montaigne de roubaix,École élémentaire Montaigne de Roubaix,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:École élémentaire Montaigne de Roubaix,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ecole nationale superieure d arts et metiers,ENSAM,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ecole superieure de genie informatique,École Supérieure de Génie Informatique,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:École Supérieure de Génie Informatique,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ecole superieure des metiers de l immobilier,École Supérieure des Métiers de l’Immobilier,Éducation / Formation,CONFIRMED,HIGH,safe_name,1,safe_name:Éducation / Formation:École Supérieure des Métiers de l’Immobilier,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
edevice,eDevice,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
edf,EDF,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
edf a la reunion,edf a la reunion,Énergie / Utilities,CONFIRMED,HIGH,manual_reference,1,manual_reference:Énergie / Utilities:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
edf reunion,edf reunion,Énergie / Utilities,CONFIRMED,HIGH,manual_reference,1,manual_reference:Énergie / Utilities:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
edm mayotte,edm mayotte,Énergie / Utilities,CONFIRMED,HIGH,manual_reference,1,manual_reference:Énergie / Utilities:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
education nationale,Éducation Nationale,Administration / Collectivité,CONFIRMED,HIGH,safe_name,2,safe_name:Administration / Collectivité:Ministère de l'Éducation nationale | safe_name:Administration / Collectivité:Ministère de l'Éducation nationale,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
educonnect,EduConnect,Éducation / Formation,CONFIRMED,HIGH,naf_precise_v2,1,naf_precise_v2:Éducation / Formation:Activity_Code=85.59A; Company_ID=930941364,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
eeva club evasion,Eeva Club Évasion,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
efc formation,EFC Formation,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
egep reunion,EGEP Réunion,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
egov sc,egov.sc,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
eiffage,Eiffage,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
eiml paris,EIML Paris,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
electricite de mayotte,electricite de mayotte,Énergie / Utilities,CONFIRMED,HIGH,manual_reference,1,manual_reference:Énergie / Utilities:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
emploi docteur imago,Emploi Docteur Imago,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
empreinte hotel,empreinte-hotel,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
enensys technologies,ENENSYS Technologies,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
enercoop,Enercoop,Énergie / Utilities,CONFIRMED,HIGH,naf_precise_v2,1,naf_precise_v2:Énergie / Utilities:Activity_Code=35.14Z; Company_ID=484223094,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
engie,Engie,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
engie green,ENGIE Green,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ens paris saclay,ENS Paris-Saclay,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ensai network,ENSAI Network,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
enseignement catholique,Enseignement Catholique,Éducation / Formation,CONFIRMED,HIGH,safe_name,2,safe_name:Éducation / Formation:Enseignement Catholique | safe_name:Éducation / Formation:Enseignement catholique,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ent,ENT,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
envisite,EnVisite,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
epf reunion valgo,EPF Réunion / VALGO,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
epi du rouergue,Epi du Rouergue,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
erdil,ERDIL,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
erla technologies,Erla Technologies,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ernat bureau etudes,ernat-bureau-etudes,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
espace ce,Espace CE,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
espaces atypiques,Espaces Atypiques,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
espci,ESPCI,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
etai,ETAI,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
eurail,Eurail,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
euronature,EuroNature,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
europ camera,Europ-Camera,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
europa,Europa,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
eva charleroi,EVA Charleroi,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
eva gg,EVA.gg,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
eva nantes sud,EVA Nantes Sud,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
everlite concept,Everlite concept,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
evy,EVY,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
exclusive networks,Exclusive Networks,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
experts entreprendre,Experts Entreprendre,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
fac logistique,FAC Logistique,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
faco paris,Faco Paris,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise d aeronautique,Fédération Française d'Aéronautique,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française d'Aéronautique,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise d aikido aikibudo et associees,"Fédération Française d'Aïkido, Aïkibudo et Associées",Sport,CONFIRMED,HIGH,safe_name,1,"safe_name:Sport:Fédération Française d'Aïkido, Aïkibudo et Associées",,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise d athletisme,Fédération Française d’Athlétisme,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française d’Athlétisme,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise d equitation,Fédération Française d’Équitation,Sport,CONFIRMED,HIGH,safe_name,2,safe_name:Sport:Fédération Française d’Équitation | safe_name:Sport:Fédération Française d’Équitation,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise d escrime,Fédération Française d’Escrime,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française d’Escrime,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise d etudes et de sports sous marins,Fédération Française d’Études et de Sports Sous-Marins,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française d’Études et de Sports Sous-Marins,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise d ulm,Fédération Française d’ULM,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française d’ULM,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de badminton,Fédération Française de Badminton,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Badminton,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de basket ball,Fédération Française de Basket-ball,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Basket-ball,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de basketball,Fédération Française de Basketball,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Basketball,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de bridge,Fédération Française de Bridge,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Bridge,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de chasse,Fédération Française de Chasse,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Chasse,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de danse,Fédération Française de Danse,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Danse,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de golf,Fédération Française de Golf,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Golf,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de gymnastique,Fédération Française de Gym,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Gym,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de handball,FFHandball,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Handball,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de karate,Fédération Française de Karaté,Sport,CONFIRMED,HIGH,safe_name,2,safe_name:Sport:Fédération Française de Karaté | safe_name:Sport:Fédération Française de Karaté,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de montagne escalade,Fédération Française de Montagne Escalade,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Montagne Escalade,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de motocyclisme,Fédération Française de Motocyclisme,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Motocyclisme,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de randonnee pedestre,Fédération Française de Randonnée Pédestre,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Randonnée Pédestre,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de rugby,Fédération Française de Rugby,Sport,CONFIRMED,HIGH,safe_name,2,safe_name:Sport:Fédération Française de Rugby | safe_name:Sport:Fédération Française de Rugby,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de rugby a xiii,Fédération Française de Rugby à XIII,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Rugby à XIII,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de savate,Fédération française de Savate,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération française de Savate,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de ski,Fédération Française de Ski,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Ski,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de squash,Fédération Française de squash,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de squash,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de tennis,Fédération Française de Tennis,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Tennis,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de tennis de table,Fédération Française de Tennis de Table,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Tennis de Table,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de twirling baton,Fédération Française de Twirling Bâton,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Twirling Bâton,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de voile,Fédération Française de Voile,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Voile,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de voitures radio commandees,Fédération Française de Voitures Radio-Commandées,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de vol libre,Fédération Française de Vol Libre,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Vol Libre,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise de volley,Fédération Française de Volley,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Volley,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise des sapeurs pompiers,Fédération Française des Sapeurs-Pompiers,Administration / Collectivité,CONFIRMED,HIGH,safe_name,1,safe_name:Administration / Collectivité:Fédération Française des Sapeurs-Pompiers,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise des sports pour tous,Fédération Française des Sports pour tous,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française des Sports pour tous,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise du sport automobile,Fédération Française du Sport Automobile,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française du Sport Automobile,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise du sport universitaire,Fédération Française de Sport Universitaire,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française de Sport Universitaire,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation francaise handisport,Fédération Française Handisport,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Française Handisport,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation hospitaliere de france,Fédération Hospitalière de France,Santé,CONFIRMED,HIGH,safe_name,1,safe_name:Santé:Fédération Hospitalière de France,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation nationale de l hotellerie de plein air,FNHPA,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation nationale des chasseurs,Fédération Nationale des Chasseurs,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation sportive de la police nationale,Fédération Sportive de la Police Nationale,Sport,CONFIRMED,HIGH,safe_name,2,safe_name:Sport:Fédération Sportive de la Police Nationale | safe_name:Sport:Fédération Sportive de la Police Nationale,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation sportive et culturelle de france,Fédération Sportive et Culturelle de France,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Sportive et Culturelle de France,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
federation sportive et gymnique du travail,Fédération Sportive et Gymnique du Travail,Sport,CONFIRMED,HIGH,safe_name,1,safe_name:Sport:Fédération Sportive et Gymnique du Travail,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
fetis group secom engineering,FÉTIS Group & SECOM Engineering,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ffck et sports de pagaie,FFCK et Sports de Pagaie,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ffmoto,FFMOTO,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ficoba,FICOBA,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
filair,FILAIR,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
flickr,Flickr,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
florajet,Florajet,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
folet rivoire,Folet & Rivoire,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
