Organisation_Key,Organisation,Sector,Status,Confidence,Evidence_Types,Evidence_Count,Evidence,Conflicting_Sectors,Decision_Origin,Updated_At
cci mayotte,cci mayotte,Commerce / Distribution,CONFIRMED,HIGH,manual_reference,1,manual_reference:Commerce / Distribution:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cci reunion,cci reunion,Commerce / Distribution,CONFIRMED,HIGH,manual_reference,1,manual_reference:Commerce / Distribution:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ce ratp comite d entreprise ratp,Ce Ratp Comite D entreprise Ratp,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cegedim,Cegedim,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cemoi,Cemoi,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre communal d action sociale de dunkerque,Centre Communal d’Action Sociale de Dunkerque,Administration / Collectivité,CONFIRMED,HIGH,safe_name,1,safe_name:Administration / Collectivité:Centre Communal d’Action Sociale de Dunkerque,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre d imagerie medicale de puteaux,Centre d’imagerie médicale de Puteaux,Santé,CONFIRMED,HIGH,safe_name,1,safe_name:Santé:Centre d’imagerie médicale de Puteaux,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre des monuments nationaux,Centre des Monuments Nationaux,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre hospitalier de mayotte,centre hospitalier de mayotte,Santé,CONFIRMED,HIGH,manual_reference,1,manual_reference:Santé:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre hospitalier de perpignan,Centre Hospitalier de Perpignan,Santé,CONFIRMED,HIGH,safe_name,1,safe_name:Santé:Centre Hospitalier de Perpignan,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre hospitalier universitaire de la reunion,centre hospitalier universitaire de la reunion,Santé,CONFIRMED,HIGH,manual_reference,1,manual_reference:Santé:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre national de gestion,Centre National de Gestion,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre ophtalmologique dermont,Centre Ophtalmologique dErmont,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centre universitaire de mayotte,centre universitaire de mayotte,Éducation / Formation,CONFIRMED,HIGH,manual_reference,1,manual_reference:Éducation / Formation:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
centres sociaux de france,Centres Sociaux de France,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
century21,Century 21,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
ceram decor,Céram Décor,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cerballiance,Cerballiance,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
certificat clea,Certificat CléA,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cetelem,Cetelem,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cette famille,Cette Famille,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cfdt,CFDT,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cftc metallurgie,CFTC Metallurgie,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chambre de commerce et d industrie de la reunion,chambre de commerce et d industrie de la reunion,Commerce / Distribution,CONFIRMED,HIGH,manual_reference,1,manual_reference:Commerce / Distribution:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chambre de commerce et d industrie nice cote d azur,CCI Nice Côte d’Azur,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chambre de metiers et de l artisanat de la reunion,chambre de metiers et de l artisanat de la reunion,Commerce / Distribution,CONFIRMED,HIGH,manual_reference,1,manual_reference:Commerce / Distribution:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
charles conseil coordination,CHARLES CONSEIL COORDINATION,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chassezdiscount,ChassezDiscount.com,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chat coco,Chat Coco,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chateau royal de blois maison de la magie,Chateau royal de Blois / Maison de la Magie,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chm,chm,Santé,CONFIRMED,HIGH,manual_reference,1,manual_reference:Santé:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
choisir le service public,Choisir le service public,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chu de la reunion,chu de la reunion,Santé,CONFIRMED,HIGH,manual_reference,1,manual_reference:Santé:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chu reunion,chu reunion,Santé,CONFIRMED,HIGH,manual_reference,1,manual_reference:Santé:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
chupin,Chupin,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cise reunion,cise reunion,Énergie / Utilities,CONFIRMED,HIGH,manual_reference,1,manual_reference:Énergie / Utilities:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
city pro,City'Pro,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
city pro marionneau,City’Pro Marionneau,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
classic days,Classic Days,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
clcv,CLCV,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
clenet,Clenet,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cleor,Cleor,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
clinique ambroise pare beuvry,Clinique Ambroise Paré Beuvry,Santé,CONFIRMED,HIGH,safe_name,1,safe_name:Santé:Clinique Ambroise Paré Beuvry,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
clinique de l yvette,Clinique de l’Yvette,Santé,CONFIRMED,HIGH,safe_name,1,safe_name:Santé:Clinique de l’Yvette,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cloud de l etat,Cloud de l’État,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cloud imperium games,Cloud Imperium Games,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cmc expertise comptable,CMC Expertise Comptable,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cnaoc,CNAOC,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cnrs,CNRS,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
codes rousseau,Code Rousseau,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
coe int,coe.int,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
cofaq,Cofaq,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
