Organisation_Key,Organisation,Secteur,Localisation,Périmètre,Motif,URL_de_validation
mairie de kani keli,Mairie de Kani-Kéli,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de kani keli,Mairie de Kani-Kéli,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de kani keli,Mairie de Kani-Kéli,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de koungou,Mairie de Koungou,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de koungou,Mairie de Koungou,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de koungou,Mairie de Koungou,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de mamoudzou,Mairie de Mamoudzou,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de mamoudzou,Mairie de Mamoudzou,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de mamoudzou,Mairie de Mamoudzou,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de m tsamboro,Mairie de M'Tsamboro,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de m tsamboro,Mairie de M'Tsamboro,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de m tsamboro,Mairie de M'Tsamboro,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de m tsangamouji,Mairie de M'Tsangamouji,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de m tsangamouji,Mairie de M'Tsangamouji,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de m tsangamouji,Mairie de M'Tsangamouji,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de ouangani,Mairie de Ouangani,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de ouangani,Mairie de Ouangani,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de ouangani,Mairie de Ouangani,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de pamandzi,Mairie de Pamandzi,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de pamandzi,Mairie de Pamandzi,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de pamandzi,Mairie de Pamandzi,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de sada,Mairie de Sada,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de sada,Mairie de Sada,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de sada,Mairie de Sada,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de tsingoni,Mairie de Tsingoni,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de tsingoni,Mairie de Tsingoni,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de tsingoni,Mairie de Tsingoni,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
departement de mayotte,Département de Mayotte,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
conseil departemental de mayotte,Département de Mayotte,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
prefecture de mayotte,Préfecture de Mayotte,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
centre hospitalier de mayotte,Centre Hospitalier de Mayotte,Santé,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
chm,Centre Hospitalier de Mayotte,Santé,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
rectorat de mayotte,Rectorat de Mayotte,Éducation / Formation,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
academie de mayotte,Rectorat de Mayotte,Éducation / Formation,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
centre universitaire de mayotte,Centre universitaire de Mayotte,Éducation / Formation,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
cufr mayotte,Centre universitaire de Mayotte,Éducation / Formation,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
caisse de securite sociale de mayotte,Caisse de Sécurité Sociale de Mayotte,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
cssm,Caisse de Sécurité Sociale de Mayotte,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
electricite de mayotte,Électricité de Mayotte,Énergie / Utilities,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
edm mayotte,Électricité de Mayotte,Énergie / Utilities,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
smae mayotte,SMAE Mayotte,Énergie / Utilities,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
societe mahoraise des eaux,SMAE Mayotte,Énergie / Utilities,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
port de longoni,Port de Longoni,Transport / Logistique,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
aeroport de dzaoudzi pamandzi,Aéroport de Dzaoudzi-Pamandzi,Transport / Logistique,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
aeroport de mayotte,Aéroport de Dzaoudzi-Pamandzi,Transport / Logistique,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
cci mayotte,CCI Mayotte,Commerce / Distribution,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
orange mayotte,Orange Mayotte,Numérique / Technologie,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
sfr mayotte,SFR Mayotte,Numérique / Technologie,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mayotte telecom,Mayotte Telecom,Numérique / Technologie,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
direction generale des finances publiques,Direction générale des Finances publiques,Administration / Collectivité,France métropolitaine,National,Organisation notoire — administration publique nationale (DGFiP),https://www.economie.gouv.fr/dgfip
intermarche,Intermarché,Commerce / Distribution,France métropolitaine,National,Organisation notoire — enseigne de distribution nationale,https://www.intermarche.com
la financiere d orion,La financière d’Orion,Finance / Assurance,France métropolitaine,National,Plateforme nationale de produits et services dédiée aux conseillers en gestion de patrimoine,https://www.lafinancieredorion.fr/
courir,Courir,Commerce / Distribution,France métropolitaine,National,Enseigne française de vente de sneakers en ligne et en magasin,https://www.courir.com/fr/qui-sommes-nous/
fftir,FFTir,Sport,France métropolitaine,National,Fédération française organisant les disciplines de tir sportif,https://www.fftir.org/
easypara,Easypara,Commerce / Distribution,France métropolitaine,National,Enseigne française de parapharmacie en ligne,https://www.easypara.fr/
lcommerce,LCommerce,Commerce / Distribution,France métropolitaine,National,Entreprise exploitant une plateforme de vente en ligne sous enseigne E.Leclerc,https://annuaire-entreprises.data.gouv.fr/entreprise/882736077
marie blachere,Marie Blachère,Commerce / Distribution,France métropolitaine,National,Réseau de boulangeries et magasins alimentaires,https://www.marieblachere.com/lentreprise/
zero logement vacant,Zéro Logement Vacant,Administration / Collectivité,France métropolitaine,National,Service public numérique destiné aux collectivités et services de l’État,https://zerologementvacant.beta.gouv.fr/zero-logement-vacant/la-plateforme/
actis location,Actis Location,Services aux entreprises,France métropolitaine,National,Location de matériels de manutention pour les professionnels,https://www.actis-location.com/
freres toque,Frères Toque,Hébergement / Tourisme / Restauration,France métropolitaine,National,Plateforme locale de commande et livraison de repas de restaurants,https://apps.apple.com/fr/app/fr%C3%A8res-toque/id1429969498
lingor,Lingor,Finance / Assurance,France métropolitaine,National,Conseil et investissement en métaux précieux,https://www.lingor.fr/la-societe-lingor/
qare,Qare,Santé,France métropolitaine,National,Société de téléconsultation médicale agréée,https://consultation.qare.fr/rdv-medecin-app/
reso,Réso,Commerce / Distribution,,France,Négoce spécialisé de produits du second œuvre ; classement par activité économique principale (audit 2026-09-05).,https://www.reso.fr/qui-sommes-nous/
cma occitanie,CMA Occitanie,Administration / Collectivité,,France,"Chambre consulaire, établissement public ; priorité à la mission institutionnelle (audit 2026-09-05).",https://lannuaire.service-public.gouv.fr/occitanie/haute-garonne/d8b3d986-d96a-4f1d-9ea8-1eba9e6aeea7
chambre de metiers et de l artisanat d occitanie,Chambre de Métiers et de l’Artisanat d’Occitanie,Administration / Collectivité,,France,"Chambre consulaire, établissement public ; priorité à la mission institutionnelle (audit 2026-09-05).",https://lannuaire.service-public.gouv.fr/occitanie/haute-garonne/d8b3d986-d96a-4f1d-9ea8-1eba9e6aeea7
association des maires de france,Association des maires de France,Association / Syndicat,,France,Audit 2026-09-05 : Association représentative des maires et présidents d'intercommunalité ; distincte d'une administration et de l'Autorité des marchés financiers.,https://www.amf.asso.fr/
cc yvetot normandie,CC Yvetot Normandie,Administration / Collectivité,France métropolitaine,France,Communauté de communes située en Seine-Maritime.,https://www.cyberattaque.org/cc-yvetot-normandie-les-documents-administratifs-en-fuite-apres-une-cyberattaque/
service national universel,Service national universel,Administration / Collectivité,France métropolitaine,France,Dispositif public national destiné aux jeunes.,https://www.snu.gouv.fr/
bcti,BCTI,Construction / BTP,,France,Audit 2026-09-05 : Service de mise en relation avec des experts pour les diagnostics immobiliers et audits énergétiques ; classement dans les services immobiliers couverts par Construction / BTP.,https://www.bcti.fr/diagnostics-immobiliers/
delicity,Delicity,Numérique / Technologie,,France,"Audit 2026-09-05 : Plateforme et applications de commande et réservation pour les restaurateurs ; fournit des outils numériques, sans être un restaurant.",https://pro.delicity.com/
dropbox,Dropbox,Numérique / Technologie,,France,"Audit 2026-09-05 : Services logiciels de stockage, partage et collaboration sur les fichiers.",https://www.dropbox.com/about
fnim,FNIM,Association / Syndicat,,France,"Audit 2026-09-05 : Fédération représentant et accompagnant les mutuelles indépendantes ; sa mission est fédérative, distincte de l'assurance exercée par ses adhérents.",https://fnim.fr/
herbiolys,Herbiolys,Industrie / Manufacture,,France,"Audit 2026-09-05 : Fabrication de préparations et produits à base de plantes ; activité de transformation, distincte de la seule revente ou de la culture agricole.",https://www.herbiolys.fr/fr/
la boutique du volet,La Boutique du Volet,Commerce / Distribution,,France,"Audit 2026-09-05 : Vente en ligne de pièces détachées pour volets roulants et stores ; distributeur, distinct d'une entreprise de construction.",https://www.laboutiqueduvolet.com/
livetrail,LiveTrail,Numérique / Technologie,,France,"Audit 2026-09-05 : Applications et solutions de suivi GPS, chronométrage et statistiques des courses ; fournisseur numérique, distinct des organisateurs sportifs utilisateurs.",https://web.livetrail.net/en
micromania,Micromania,Commerce / Distribution,,France,"Audit 2026-09-05 : Réseau de magasins et vente de jeux vidéo, consoles et produits dérivés.",https://corporate.micromania.fr/projet.html
minea,Minea,Numérique / Technologie,,France,"Audit 2026-09-05 : Outil numérique d'analyse des publicités, boutiques et tendances pour les commerçants ; ne pas attribuer à l'éditeur le commerce de ses clients.",https://www.minea.com/fr/
shipup,Shipup,Numérique / Technologie,,France,"Audit 2026-09-05 : Plateforme logicielle de suivi des commandes, retours et incidents de livraison ; distincte du transport physique des colis.",https://www.shipup.co/en
stade montois omnisports,Stade Montois Omnisports,Sport,,France,Audit 2026-09-05 : Club omnisports proposant plusieurs disciplines et sections ; classement par activité sportive.,https://stade-montois.fr/
timetonic,Timetonic,Numérique / Technologie,,France,Audit 2026-09-05 : Éditeur d'une plateforme cloud NoCode pour construire des applications de gestion collaborative.,https://fr.home.timetonic.com/
aroma zone,Aroma-Zone,Commerce / Distribution,France métropolitaine,France,"Audit 2026-09-09 : marque française vendant directement des produits de beauté, bien-être et maison.",https://www.aroma-zone.com/info/qui-sommes-nous
proshop fft,Proshop FFT,Commerce / Distribution,France métropolitaine,France,Audit 2026-09-09 : place de marché de la Fédération Française de Tennis vendant du matériel sportif.,https://proshop.fft.fr/
vision2i,Vision2i,Services aux entreprises,France métropolitaine,France,Audit 2026-09-09 : agence de communication et de conseil située à Orvault.,https://vision2i.fr/
citadium,Citadium,Commerce / Distribution,France métropolitaine,France,Audit 2026-09-09 : enseigne de mode urbaine et lifestyle du Groupe Printemps.,https://www.groupe-printemps.com/profil-chiffres-cles
printemps,Printemps,Commerce / Distribution,France métropolitaine,France,Audit 2026-09-09 : enseigne de grands magasins de mode luxe beauté et lifestyle.,https://www.groupe-printemps.com/printemps
