Organisation_Key,Query_Name,Matched_Name,Company_ID,Activity_Code,Activity_Label,Headquarters_Department,Evidence_Source,Evidence_URL,Match_Status,Fetched_At,Validated_Sector,Validated_Via,Cache_Version
blgcloud,BlgCloud,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
bloctel,Bloctel,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
booking,Booking,BOOKING,315667170,74.4B,"Activités spécialisées, scientifiques et techniques",92,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=315667170,MATCHED,2026-08-16T20:20:24+04:00,Services aux entreprises,deterministic,4
bureau vallee,Bureau Vallée,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
carvivo,Carvivo,CARVIVO,819173634,62.01Z,Information et communication,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=819173634,MATCHED,2026-08-16T11:59:40+04:00,Numérique / Technologie,deterministic,4
casino de paris,Casino de Paris,CASINO DE PARIS,582047957,90.01Z,"Arts, spectacles et activités récréatives",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=582047957,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
cegedim,Cegedim,CEGEDIM,350422622,63.11Z,Information et communication,92,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=350422622,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,4
centre hospitalier de chaumont,Centre Hospitalier de Chaumont,CENTRE HOSPITALIER DE CHAUMONT,265200048,86.10Z,Santé humaine et action sociale,52,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=265200048,MATCHED,2026-08-16T11:59:40+04:00,,,4
centre hospitalier de perpignan,Centre hospitalier de Perpignan,CENTRE HOSPITALIER DE PERPIGNAN,266600022,86.10Z,Santé humaine et action sociale,66,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=266600022,MATCHED,2026-08-16T11:59:40+04:00,,,4
chambre de commerce et d industrie nice cote d azur,Chambre de Commerce et d'Industrie Nice Côte d'Azur,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
chat coco,Chat Coco,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
chupin,Chupin,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T10:23:34+04:00,,,4
clcv,CLCV,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
commune de bourg achard,Commune de Bourg-Achard,COMMUNE DE BOURG ACHARD,212701031,84.11Z,Administration publique,27,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=212701031,MATCHED,2026-08-16T20:20:24+04:00,,,4
conseil de l europe,Conseil de l’Europe,CONSEIL DE L EUROPE,778860080,99.00Z,Activités extra-territoriales,67,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=778860080,MATCHED,2026-08-16T11:59:40+04:00,,llm_declined,4
cravero motoculture,Cravero Motoculture,CRAVERO MOTOCULTURE,440381499,46.61Z,Commerce ; réparation d'automobiles et de motocycles,31,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=440381499,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,4
crunchyroll,Crunchyroll,CRUNCHYROLL SAS,492289152,59.11A,Information et communication,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=492289152,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,4
cy cergy paris universite,CY Cergy Paris Université,CY CERGY PARIS UNIVERSITE,130025976,85.42Z,Enseignement,95,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=130025976,MATCHED,2026-08-16T11:59:40+04:00,Éducation / Formation,deterministic,4
darty,Darty,DARTY,494004823,47.42Z,Commerce ; réparation d'automobiles et de motocycles,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=494004823,MATCHED,2026-08-16T20:20:24+04:00,Commerce / Distribution,deterministic,4
diffusion produits inoxydables,Diffusion Produits Inoxydables,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
direction generale des finances publiques,Direction générale des Finances publiques,DIRECTION GENERALE DES FINANCES PUBLIQUES,130004955,84.11Z,Administration publique,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=130004955,MATCHED,2026-08-16T11:59:40+04:00,Administration / Collectivité,deterministic,4
duvignau40,Duvignau 40,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
easycash,EasyCash,EASYCASH,889129268,46.19B,Commerce ; réparation d'automobiles et de motocycles,31,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=889129268,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,4
easylounge,Easy Lounge,EASY LOUNGE,951492958,56.10A,Hébergement et restauration,06,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=951492958,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
education nationale,Ministère de l'Éducation nationale, MINISTERE DE L'EDUCATION NATIONALE,110043015,84.11Z,Administration publique,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=110043015,MATCHED,2026-08-16T11:59:40+04:00,Administration / Collectivité,deterministic,4
educonnect,EduConnect,EDUCONNECT,930941364,85.59A,Enseignement,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=930941364,MATCHED,2026-08-16T11:59:40+04:00,Éducation / Formation,deterministic,4
emploi docteur imago,Emploi Docteur Imago,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
enercoop,Enercoop,ENERCOOP,484223094,35.14Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=484223094,MATCHED,2026-08-16T11:59:40+04:00,Énergie / Utilities,deterministic,4
engie green,ENGIE Green,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
ent,ENT,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T10:23:34+04:00,,,4
erdil,Erdil,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T10:23:34+04:00,,,4
espace ce,Espace CE,ESPACE CE,815068549,79.90Z,Activités de services administratifs et de soutien,69,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=815068549,MATCHED,2026-08-16T20:20:24+04:00,Services aux entreprises,deterministic,4
espaces atypiques,Espaces Atypiques,ESPACES ATYPIQUES,791648132,68.31Z,,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=791648132,MATCHED,2026-08-16T11:59:40+04:00,,,4
eva charleroi,EVA Charleroi,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
eva nantes sud,EVA Nantes Sud,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
evy,EVY,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T10:23:34+04:00,,,4
federation francaise d aeronautique,Fédération Française d'Aéronautique,FEDERATION FRANCAISE AERONAUTIQUE,784354417,93.12Z,"Arts, spectacles et activités récréatives",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=784354417,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
federation francaise d athletisme,Fédération Française d’Athlétisme,FEDERATION FRANCAISE D'ATHLETISME,784448730,93.12Z,"Arts, spectacles et activités récréatives",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=784448730,MATCHED,2026-08-16T20:20:24+04:00,,,4
federation francaise d equitation,Fédération Française d’Équitation,FEDERATION FRANCAISE D EQUITATION,344386701,93.19Z,"Arts, spectacles et activités récréatives",41,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=344386701,MATCHED,2026-08-16T11:59:40+04:00,,llm_declined,4
federation francaise d escrime,Fédération Française d’Escrime,FEDERATION FRANCAISE D ESCRIME,775675606,93.12Z,"Arts, spectacles et activités récréatives",93,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=775675606,MATCHED,2026-08-16T20:20:24+04:00,,,4
federation francaise de badminton,Fédération Française de Badminton,FEDERATION FRANCAISE DE BADMINTON,331733840,93.19Z,"Arts, spectacles et activités récréatives",93,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=331733840,MATCHED,2026-08-16T20:20:24+04:00,,,4
federation francaise de danse,Fédération Française de Danse,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T10:23:34+04:00,,,4
federation francaise de golf,Fédération Française de Golf,FEDERATION FRANCAISE DE GOLF,784663189,93.19Z,"Arts, spectacles et activités récréatives",92,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=784663189,MATCHED,2026-08-16T20:20:24+04:00,,,4
federation francaise de handball,Fédération Française de Handball,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T10:23:34+04:00,,,4
federation francaise de karate,Fédération Française de Karaté,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
federation francaise de motocyclisme,Fédération Française de Motocyclisme,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
federation francaise de rugby a xiii,Fédération Française de Rugby à XIII,FEDERATION FRANCAISE DE RUGBY A XIII,788105146,93.12Z,"Arts, spectacles et activités récréatives",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=788105146,MATCHED,2026-08-16T20:20:24+04:00,,,4
federation francaise de ski,Fédération Française de Ski,FEDERATION FRANCAISE DE SKI,775691603,93.19Z,"Arts, spectacles et activités récréatives",74,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=775691603,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
federation francaise de squash,Fédération Française de squash,FEDERATION FRANCAISE DE SQUASH,323428128,93.12Z,"Arts, spectacles et activités récréatives",94,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=323428128,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
federation francaise de tennis,Fédération Française de Tennis,FEDERATION FRANCAISE DE TENNIS,775671381,93.19Z,"Arts, spectacles et activités récréatives",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=775671381,MATCHED,2026-08-16T20:20:24+04:00,,,4
federation francaise de voile,Fédération Française de Voile,FEDERATION FRANCAISE DE VOILE,784405995,93.12Z,"Arts, spectacles et activités récréatives",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=784405995,MATCHED,2026-08-16T20:20:24+04:00,,,4
federation francaise de voitures radio commandees,Fédération Française de Voitures Radio-Commandées,FEDERATION FRANCAISE DE VOITURES RADIO COMMANDEES,322670274,94.99Z,Autres activités de services,91,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=322670274,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
federation francaise de vol libre,Fédération Française de Vol Libre,FEDERATION FRANCAISE DE VOL LIBRE,304734007,93.12Z,"Arts, spectacles et activités récréatives",06,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=304734007,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
federation sportive de la police nationale,Fédération Sportive de la Police Nationale,FEDERATION SPORTIVE DE LA POLICE NATIONALE,410910863,93.12Z,"Arts, spectacles et activités récréatives",93,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=410910863,MATCHED,2026-08-16T11:59:40+04:00,,,4
federation sportive et culturelle de france,Fédération Sportive et Culturelle de France,FEDERATION SPORTIVE ET CULTURELLE DE FRANCE,494998610,94.99Z,Autres activités de services,80,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=494998610,MATCHED,2026-08-16T20:20:24+04:00,,,4
france casse,France-Casse,,,,,,recherche-entreprises.api.gouv.fr,,AMBIGUOUS,2026-08-17T10:23:34+04:00,,,4
