Golden_ID,Organisation,Reference_Date,Match_Status,Match_Strategy,Incident_ID_Snapshot,Incident_ID_Current,Secteur_REF,Secteur_CW,Secteur_Match,Menace_REF,Menace_CW,Menace_Match,Localisation_REF,Localisation_CW,Localisation_Match
GOLD-0048,Lidl France,2026-07-13,MISSING,,INC-E2D891374E13,,Commerce / Distribution,,False,Incident tiers,,False,France métropolitaine,,False
GOLD-0049,École Supérieure des Métiers de l’Immobilier,2026-07-13,MATCHED,snapshot_id,INC-2A2858828255,INC-2A2858828255,Éducation / Formation,Éducation / Formation,True,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0050,Bebeboutik,2026-07-11,MATCHED,snapshot_id,INC-1F9BE8617194,INC-1F9BE8617194,Commerce / Distribution,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0051,PPA Business School,2026-07-11,MATCHED,snapshot_id,INC-79E9E0E42B80,INC-79E9E0E42B80,Éducation / Formation,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0052,Ville de Ouangani,2026-07-10,MISSING,,INC-DEE773FAD582,,Administration / Collectivité,,False,Ransomware,,False,Mayotte,,False
GOLD-0053,Fédération Française Handisport,2026-07-09,MATCHED,snapshot_id,INC-6A9D6083CDEB,INC-6A9D6083CDEB,Sport,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0054,Pays du Mont-Blanc,2026-07-09,MATCHED,snapshot_id,INC-48A1886DA2F7,INC-48A1886DA2F7,Administration / Collectivité,Inconnu,False,Incident tiers,Ransomware,False,France métropolitaine,Inconnu,False
GOLD-0055,École Supérieure de Génie Informatique,2026-07-09,MATCHED,snapshot_id,INC-171F220F596A,INC-171F220F596A,Éducation / Formation,Éducation / Formation,True,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0056,Ministère de la Culture,2026-07-08,MATCHED,snapshot_id,INC-E814197D976B,INC-E814197D976B,Administration / Collectivité,Administration / Collectivité,True,Fuite de données,Phishing / fraude,False,France métropolitaine,Inconnu,False
GOLD-0057,Télécom Saint-Étienne,2026-07-08,MATCHED,snapshot_id,INC-8D8FDF029408,INC-8D8FDF029408,Éducation / Formation,Numérique / Technologie,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
