Severity,Code,Golden_ID,Related_Golden_ID,Field,Current_Value,Suggested_Value,Message
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0031,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0031,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0031,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0032,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0032,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0032,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0033,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0034,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0034,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0034,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0035,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0035,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0035,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0036,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0037,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0037,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0037,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0038,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0039,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0040,,,,,au moins un champ HIGH sans URL de source rejouable
